,SB,,Mk 1p,,Mk m1p,,Mk nm,,Mk,,,,,,,,,,,
Bug Number,Result,Runtime,Result,Runtime,Result,Runtime,Result,Runtime,Result,Runtime,Exclude,,Runtime,SB,Mk 1p,Mk m1p,Mk nm,Mk,,
867,DNF,48:00:00,Unstable,6:37:13,Unstable,7:17:13,Unstable,6:37:13,Unstable,7:17:13,0,,,,,,,,,
870,NF,0:29:38,NF,0:23:45,NF,1:15:50,NF,0:45:03,NF,1:25:03,1,,,,,,,,,
872,NF,4:14:59,NF,0:20:27,NF,1:00:27,NF,0:20:27,NF,1:00:27,1,,,,,,,,,
874,BiC,6:38:27,BiC,7:03:47,BiC,8:26:59,BiC,7:03:47,BiC,8:26:59,0,,,,,,,,,
875,NF,0:29:48,NF,0:30:03,NF,1:22:17,NF,0:41:06,NF,1:21:06,1,,,,,,,,,
876,BiC,8:13:39,BiC,10:30:28,BiC,8:52:50,BiC,10:30:28,BiC,8:52:50,0,,,,,,,,,
879,NF,7:05:04,NF,0:18:25,NF,0:18:25,NF,0:39:50,NF,1:19:50,1,,,,,,,,,
880,Wrong Bug,7:02:25,Unstable,7:12:51,Code Change,8:56:32,Unstable,7:12:51,Code Change,8:56:32,0,,,,,,,,,
882,Wrong Bug,7:32:06,Blocking Bug,6:14:08,Blocking Bug,8:49:28,Blocking Bug,6:14:08,Blocking Bug,8:49:28,0,,,,,,,,,
884,Wrong Bug,34:42:50,Blocking Bug,5:35:19,Unstable,6:39:29,Blocking Bug,5:35:19,Unstable,6:39:29,0,,,,,,,,,
885,BiC,6:56:59,BiC,6:38:36,BiC,7:00:35,BiC,6:38:36,BiC,7:00:35,0,,,,,,,,,
886,Wrong Bug,8:34:22,Unstable,5:43:18,Code Change,5:31:31,Unstable,5:43:18,Code Change,5:31:31,0,,,,,,,,,
888,DNF,48:00:00,DNF,48:00:00,DNF,48:00:00,DNF,48:00:00,DNF,48:00:00,0,,,,,,,,,
889,NF,0:20:31,NF,0:26:31,Code Change,12:15:06,NF,0:48:52,Code Change,7:07:59,0,,,,,,,,,
890,Wrong Bug,10:56:53,Code Change,8:56:52,Code Change,18:53:56,Code Change,8:56:52,BiC,6:10:44,0,,,,,,,,,
891,Wrong Bug,5:57:48,BiC,6:17:39,BiC,6:38:39,BiC,6:17:39,BiC,6:38:39,0,,,,,,,,,
892,Wrong Bug,11:51:16,BiC,6:19:01,BiC,22:06:13,BiC,6:19:01,BiC,22:06:13,0,,,,,,,,,
895,DNF,48:00:00,NF,0:24:13,Unstable,6:34:15,Unstable,12:00:34,Unstable,8:05:27,0,,,,,,,,,
896,Wrong Bug,5:24:31,Code Change,6:24:08,Blocking Bug,8:00:15,Code Change,6:24:08,Blocking Bug,8:00:15,0,,,,,,,,,
897,NF,13:22:28,NF,0:30:38,NF,1:10:38,NF,0:30:38,NF,1:10:38,1,,,,,,,,,
899,NF,0:13:07,Code Change,5:38:58,Code Change,6:27:38,Code Change,7:26:13,Code Change,10:30:53,0,,,,,,,,,
900,NF,0:17:56,NF,0:31:39,NF,1:11:39,NF,0:31:39,NF,1:11:39,1,,,,,,,,,
901,BiC,2:55:02,NF,0:23:54,Flakey,24:19:50,NF,0:23:54,Flakey,24:19:50,0,,,,,,,,,
903,NF,0:18:24,NF,0:30:30,NF,1:10:30,NF,0:30:30,NF,1:10:30,1,,,,,,,,,
904,Code Change,9:19:39,Code Change,16:52:43,Code Change,15:07:30,Code Change,17:03:23,Code Change,18:31:48,0,,,,,,,,,
906,DNF,48:00:00,Unstable,8:06:03,Unstable,7:49:57,Unstable,8:06:03,Unstable,7:49:57,0,,,,,,,,,
908,DNF,48:00:00,Blocking Bug,7:05:58,Unstable,34:22:37,Blocking Bug,7:05:58,Unstable,34:22:37,0,,,,,,,,,
911,BiC,2:58:14,BiC,5:20:42,BiC,6:11:01,BiC,5:20:42,BiC,6:11:01,0,,,,,,,,,
913,Wrong Bug,3:24:26,NF,0:19:15,Code Change,17:00:50,NF,0:19:15,Code Change,17:00:50,0,,,,,,,,,
914,NF,0:11:02,Code Change,5:12:43,Code Change,5:28:28,Code Change,5:35:01,Code Change,6:15:01,0,,,,,,,,,
915,Wrong Bug,2:27:22,BiC,4:53:12,BiC,8:09:51,BiC,4:53:12,BiC,8:09:51,0,,,,,,,,,
919,NF,0:18:38,NF,0:24:47,Flakey,7:49:56,NF,0:45:24,NF,1:25:24,1,,,,,,,,,
